Restaurant,Town,Borough,Address,Service,Phone,Website,Merch,Gift cards,Other
Urban Vegan Kitchen,Greenwich Village,Manhattan,"41 Carmine St, New York, NY 10014",pick up & delivery ,(646) 438-9939,https://urbanvegankitchen.com/,,,
67 Orange Street,Harlem,Manhattan,"2082 Frederick Douglass Blvd, New York, NY 10026",Pickup,(212) 662-2030,http://www.67orangestreet.com/,,,
Accra,Harlem,Manhattan,"2065 Adam Clayton Powell Jr Blvd, New York, NY 10027",pick up and delivery,(212) 932-7739,,,,
Abyssinia,Harlem,Manhattan,"268 W 135th St, New York, NY 10030",Pickup and delivery ,(212) 281-2673,https://abyssinianyc.com/,,,
Africa Kine,Harlem,Manhattan,"2267 Adam Clayton Powell Jr Blvd, New York, NY 10027",pickup and delivery ,(212) 666-9400,http://www.africakine.com/,,,
B2,Harlem,Manhattan,"271 W 119th St, New York, NY 10026",pickup,(212) 280-2248,http://b2harlem.com/,,,
Belle Harlem,Harlem,Manhattan,"2363 Adam Clayton Powell Jr Blvd, New York, NY 10030",Reserve Ahead To Go,347-819-4076,https://www.belleharlem.com/,,,
Benyam,Harlem,Manhattan,2795 Frederick Douglas Blvd,pickup and delivery ,(212) 510-7353,http://benyamcuisine.com/,,,
Blvd Bistro,Harlem,Manhattan,2149 Frederick Douglass Blvd NY NY,takeout on weekends,(212) 678-6200,http://boulevardbistrony.com/,,,
Caribbean Starr,Harlem,Manhattan,"280 Malcolm X Blvd, New York, NY 10027",pickup + delivery,(917) 261-7669,http://caribbeanstarr.com/,,,
Charles' Country Pan Fried Chicken,Harlem,Manhattan,"2461 Frederick Douglass Blvd, New York, NY 10027",pickup + 3rd party delivery,212-281-1800,https://www.facebook.com/charlespanfried/,,,
Chez Alain,Harlem,Manhattan,"2046 Adam Clayton Powell Jr Blvd, New York, NY 10027",,,,,,
Chocolat Restaurant Lounge,Harlem,Manhattan,"2223 Frederick Douglass Blvd, New York, NY 10026",,,http://chocolatharlem.com/,,,
Cove Lounge,Harlem,Manhattan,"325 Malcolm X Blvd, New York, NY 10027",,,http://covelounge.com/,,,
Field Trip,Harlem,Manhattan,"109 Malcolm X Blvd, New York, NY 10026","pick up, delivery, catering",(917) 639-3919,fieldtripnyc.com,,,
Greedy Pot,Harlem,Manhattan,"1944 Adam Clayton Powell Jr Blvd, New York, NY 10026",pickup + delivery,(917) 675-7676,https://www.facebook.com/greedypot1/,,,
Harlem Hops,Harlem,Manhattan,"2268 Adam Clayton Powell Jr Blvd, New York, NY 10030",pick up & delivery,646-998-3444,https://harlemhops.com/,,,
Harlem Seafood Soul,Harlem,Manhattan,NE Corner of W.125th St & 7th Ave,pickup,,https://www.instagram.com/harlemseafoodsoul/?hl=en,,,
Harlem Shake,Harlem,Manhattan,"100 W 124th St, New York, NY 10027",pick up and delivery,(212) 222-8300,http://places.singleplatform.com/harlem-shake/menu?ref=google,,,
Hawa Restaurant,Harlem,Manhattan,"410 Malcolm X Blvd, New York, NY 10037",pickup,917-965-2215,https://www.facebook.com/Hawa-Restaurant-109186223910971/,,,
Home Sweet Harlem,Harlem,Manhattan,"1528 Amsterdam Ave, New York, NY 10031",pickup + delivery,(212) 926-9616,https://homesweetharlem.nyc/,,,
Island Bites,Harlem,Manhattan,"2107 1st Avenue, New York, NY 10029",pickup + delivery,(646) 850-8855,https://www.instagram.com/islandbitesnyc/,,,
King Barka,Harlem,Manhattan,"301 W 135th St, New York, NY 10030",pickup + delivery,(646) 952-0394,,,,
Lee Lee's Baked Goods,Harlem,Manhattan,"283 West 118th StreetNew York, NY 10026",,(917) 493-6633,https://www.leeleesrugelach.com,,,
Lighthouse Fish Market,Harlem,Manhattan,"2451 Frederick Douglass Blvd, New York, NY 10027",pickup ,,http://lighthousefishmarket.com/,,,
Lloyd's Carrot Cake,Harlem,Manhattan,"1553 Lexington Ave, New York, NY 10029","pickup, delivery, & nationwide shipping",(212) 831-9156,https://www.lloydscarrotcake.com/,,,
LoLo's Seafood Shack,Harlem,Manhattan,"303 W 116th St, New York, NY 10026",pick up & delivery,(646)-649-3356,https://lolosseafoodshack.com/,,,
Make My Fish,Harlem,Manhattan,"120 W 116th St, New York, NY 10026",pickup + delivery,(917) 388-3138,,,,
Maison Harlem,Harlem,Manhattan,"341 Saint Nicholas Ave, New York, NY 10027",,,http://maisonharlem.com/,,,
Melba's ,Harlem,Manhattan,"300 W 114th St, New York, NY 10026",pick up & delivery ,(212) 864-7777,https://www.melbasrestaurant.com/,,,
Millie Peartree at Stingrays Catering ,Harlem,Manhattan," 2150 5th Ave, New York, NY 10037",Pre-order & Delivery,(718) 562-5104,https://milliepeartree.com/order-food/,,,
Miss Mamie's Spoonbread Too,Harlem,Manhattan,"366 W 110th St, New York, NY 10025",,(212) 865-6744,https://spoonbreadinc.com,,,
Oasis Jimma Juice Bar,Harlem,Manhattan,"3163 Broadway, New York, NY 10027",pickup + delivery,646-590-0685,https://oasis-jimma-juice-bar.business.site/,,,
Pikine,Harlem,Manhattan,"243 W 116th St, New York, NY 10026",Pickup & Delivery,(646) 922-7015,,,,
Ponty Bistro,Harlem,Manhattan,"2375 Adam Clayton Powell Jr Blvd, New York, NY 10030",pickup + delivery,(212) 234-6474,https://www.pontybistroharlemny.com/,,,
Renaissance Harlem,Harlem,Manhattan,"2245 Adam Clayton Powell Jr Blvd, New York, NY 10030",pickup + delivery,(646) 838-7604,https://renaissance-harlem.com/,,,
Reverence,Harlem,Manhattan,2592 Frederick Douglass Boulvevard ,Bento Boxes to go,,https://reverence.nyc/,,,
Ruby's Vintage,Harlem,Manhattan,"2340 Adam Clayton Powell Jr Blvd, New York, NY 10030",pickup + delivery,(646) 454-9899,https://www.rubysvintageharlem.com/,,,
Safari,Harlem,Manhattan,"219 W 116th St, New York, NY 10026","pickup, delivery, and donating meals",646-964-4252,http://safariharlem.com/,,,
Seasoned Vegan,Harlem,Manhattan,"55 St Nicholas Ave, New York, NY 10026","pickup, delivery, and shipping",(212) 222-0092,https://www.seasonedvegan.com,,,
Serengeti Teas & Spice Shop,Harlem,Manhattan,"22 E 125th St, New York, NY 10035",,212-837-1057,https://serengetiteasandspices.com,,,
Sisters Cuisine ,Harlem,Manhattan,"47 E 124th St, New York, NY 10035",pickup + delivery,(212) 410-3000,https://www.sisterscuisineharlem.com,,,
Sweet Mama's,Harlem,Manhattan,"689 Malcolm X Blvd, New York, NY 10039",pick up and delivery,(212) 939-9383,,,,
Sylvia's,Harlem,Manhattan,"328 Malcolm X Blvd, New York, NY 10027",pick up & delivery,212-996-0660,http://sylviasrestaurant.com/,,,
Teranga,Harlem,Manhattan,"1280 5th Ave, New York, NY 10029","pick up, delivery, catering",,itsteranga.com,,,
The Edge,Harlem,Manhattan,"101 Edgecombe Ave, New York, NY 10030",pickup + delivery,(212) 939-9688,https://www.theedgeharlem.com/,,,
Tsion Cafe,Harlem,Manhattan,763 St. Nicholas Avenue,pickup + delivery,(212) 234-2070,https://tsioncafe.com/,,,
Uptown Veg & Juice,Harlem,Manhattan,"52 E 125th St, New York, NY 10035",pickup + delivery,(212) 987-2660,https://www.facebook.com/Uptown-Veg-374509442644237,,,
Vinateria,Harlem,Manhattan,"2211 Frederick Douglass Blvd, New York, NY 10026",pick up & delivery,212-662-8462,https://www.vinaterianyc.com/location/vinateria/,,,
Yatenga,Harlem,Manhattan,"2269 Adam Clayton Powell Jr Blvd #1, New York, NY 10030",pick up & delivery,(212) 690-0699,http://www.yatengabistro.com/,,,
Zoma,Harlem,Manhattan,2084 Frederick Douglass Blvd (8th Ave),,(212) 662-0620,https://www.zomanyc.com/,,,
The Red Rooster,Harlem ,Manhattan,"310 Malcolm X Blvd, New York, NY 10027",closed,(212) 792-9001,redroosterharlem.com,,https://www.redroosterharlem.com/store,
Blossom Du Jour,Hells Kitchen ,Manhattan,"617 9th Ave, New York, NY 10036",closed,,http://blossomdujour.com/,,,
Omar's Kitchen and Rum Bar,Lower East Side,Manhattan,"29A Clinton St, New York, NY 10002",pickup + delivery,646) 866-6993,https://www.omarskitchennyc.com/,,,
Whipped Urban Dessert Lab,Lower East Side,Manhattan,"95 Orchard St, New York, NY 10002",pickup + delivery,,https://www.urbandessertlab.com/nychome,,,
Las' Lap,Lower East Side,Manhattan,"74 Orchard St, New York, NY 10002",pick up and delivery,(646) 484-6002,laslapnewyork.com,,,
Cheeky Sandwiches,Lower East Side,Manhattan,"35 Orchard St, New York, NY 10002",pick up and delivery,(646) 504-8132,https://www.cheekysandwiches.com/,,,
Scarr's Pizza,Lower East Side,Manhattan,"22 Orchard St, New York, NY 10002",pickup + delivery,(212) 334-3481,http://www.scarrspizza.com/,,,
Makina Cafe (food truck),,,,family-sized deliveries,(917) 426-5649,https://makina.menu/makinatogo/,,,
Tings Jamaican Jerk Chicken,Meatpacking District,Manhattan,"75 9th Ave New York, NY 10011",pickup and delivery,,,,,
Divine Flavored Nigerian Food Truck,Midtown East,Manhattan,"828 2nd Ave, New York, NY 10017",pickup + delivery,(718) 451-6330,https://www.divineflavoredcatering.com,,,
Freda's Caribbean & Soul Cuisine,Morningside Heights,Manhattan,"993 Columbus Ave, New York, NY 10025",pickup + delivery,(646) 438-9832,https://fredasnyc.com/,,,
Massawa,Morningside Heights,Manhattan,"1239 Amsterdam Ave, New York, NY 10027",pickup + delivery,(212) 663-0505,https://www.massawanyc.com/,,,open since 1988!
Something Catchy,Astoria,Queens,"23-14 36th Ave, Astoria, NY 11106",pre-ordered pans for delivery,718-576-9518,,,,
Jamaica Breeze,East Elmhurst,Queens,"103-02 Astoria Blvd. East Elmhurst, NY 11369",,,http://jamaicabreezenyc.com/index.html,,,
Queens Bully,Forest Hills,Queens,"113-30 Queens Blvd Forest Hills, NY 11375",,,http://queensbully.com/,,,
Island Cuisine & Catering,Jamaica,Queens,"153-35 Hillside Ave, Queens, NY 11432",,,http://islandcuisinecatering.com/,,,
The Door,Jamaica,Queens,"163-07 Baisley Blvd. Jamaica, NY 11434",,,http://thedoorrestaurant.nyc/,,,
Percy's Jerk Hut,Jamaica,Queens,"231-07 Merrick Blvd, Jamaica, NY 11413",pick up and delivery ,(718) 712-5910,Menu: https://www.allmenus.com/ny/jamaica/236594-percys-jerk-hut/menu/,,,
Di Juice ,Merrick,Queens,"24314 Merrick Blvd, Rosedale, NY 11422",pick up and delivery ,718 341 0703,dijuicesmoothies.com,,,
A Live Kitchen (Vegan) ,Merrick Blvd,Queens,"227-16 Merrick Blvd, Laurelton, NY 11413",pick up and delivery ,(718)470-2587,,,,
Milk & Pull,Ridgewood,Queens,"778 Seneca Ave, Ridgewood, NY 11385",,(718) 821-1155,https://www.milkandpull.com,,,
Last Dragon Pizza,Rockaway,Queens,N/A,pick up and ship,,http://www.lastdragonpizza.com/,,,
Dunns River Lounge & Restaurant,Rockville Centre,Queens,"93 N Park Ave, Rockville Centre, NY 11570",,,http://dunnsriverny.com/Home,,,
Henrica's ,Rosedale,Queens,"138-89 Francis Lewis Blvd, Rosedale, NY 11422",,(718) 527-7355,https://henricasrestaurant.com/,,,
Henrica’s Restaurant and Lounge,Rosedale,Queens,"138-89 Francis Lewis Blvd. Queens, NY",,,http://henricasrestaurant.com/,,,
Island Taste Caribbean Restaurant and Lounge,Rosedale,Queens,"243-10 Merrick Blvd Queens, NY 11422",,,http://islandtastelounge.com/,,,
Pa-Nash Eurosoul Restaurant and Lounge,Rosedale,Queens,"144-14 243rd St. Queens, NY 11422",,,http://panashnyc.com/public_html/,,,
Bayou,Clifton,Staten Island,"1072 Bay St, Staten Island, NY 10305",pickup + delivery ,(718) 273-4383,bayounyc.com,,,
Blaze Jamaican Restaurant,Tompkinsville,Staten Island,"3 Corson Ave, Staten Island, NY 10301",pickup + delivery ,(929) 464-2330,,,,
Chez Adja African Restaurant ,Tompkinsville,Staten Island,"226 Bay St, Staten Island, NY 10301",,,https://www.facebook.com/Chez-Adja-African-Restaurant-202367263733493/,,,
Koten's Caribbean and American Restaurant,Port Richmond,Staten Island,"537 Port Richmond Ave, Staten Island, NY 10302",pick up and delivery,(929) 364-1273,,,,
O'Henry's Publick House,Tompkinsville,Staten Island,"10 Minthorne St, Staten Island, NY 10301",pick up,(718) 442-6200,http://www.ohenryspub.com/,,,
Staten Island Fish and More,Tompkinsville,Staten Island,"137 Montgomery Ave, Staten Island, NY 10301",pick up and delivery,(718) 447-0936,,,,
TRI Lounge and Cafe,Concord,Staten Island,"1938 Clove Road, Staten Island, NY",pick up and delivery,(718) 442-5800,https://triloungeandcafe.com/,,,
,,,,,,http://www.sugarcanerestaurant.com/default.aspx?pageid=1,,,
